CustomerId,Surname,Education,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,Card Type ,IsActiveMember,EstimatedSalary,Housing,Loan,Exited
15634602.0,Hargrave,tertiary ,619.0,France,Female,42.0,2.0,0.0,1.0,1.0,DIAMOND ,1.0,101348.88,yes,yes ,1.0
15647311.0,Hill,secondary ,608.0,Spain,Female,41.0,1.0,83807.86,1.0,0.0,None,1.0,112542.58,yes,yes ,0.0
15619304.0,Onio,unknown ,502.0,France,Female,42.0,8.0,159660.8,3.0,1.0,DIAMOND ,0.0,113931.57,yes,yes ,1.0
15701354.0,Boni,unknown ,699.0,France,Female,39.0,1.0,0.0,2.0,0.0,None,0.0,93826.63,yes,yes ,0.0
15737888.0,Mitchell,tertiary ,850.0,Spain,Female,43.0,2.0,125510.82,1.0,1.0,GOLD ,1.0,79084.1,yes,yes ,0.0
15574012.0,Chu,tertiary ,645.0,Spain,Male,44.0,8.0,113755.78,2.0,1.0,DIAMOND ,0.0,149756.71,yes,yes ,1.0
15592531.0,Bartlett,primary ,822.0,France,Male,50.0,7.0,0.0,2.0,1.0,SILVER ,1.0,10062.8,yes,yes ,0.0
15656148.0,Obinna,secondary ,376.0,Germany,Female,29.0,4.0,115046.74,4.0,1.0,DIAMOND ,0.0,119346.88,no,yes ,1.0
15792365.0,He,secondary ,501.0,France,Male,44.0,4.0,142051.07,2.0,0.0,None,1.0,74940.5,yes,yes ,0.0
15592389.0,H?,secondary ,684.0,France,Male,27.0,2.0,134603.88,1.0,1.0,GOLD ,1.0,71725.73,yes,yes ,0.0
15767821.0,Bearce,secondary ,528.0,France,Male,31.0,6.0,102016.72,2.0,0.0,None,0.0,80181.12,no,yes ,0.0
15737173.0,Andrews,unknown ,497.0,Spain,Male,24.0,3.0,0.0,2.0,1.0,GOLD ,0.0,76390.01,yes,yes ,0.0
15632264.0,Kay,secondary ,476.0,France,Female,34.0,10.0,0.0,2.0,1.0,SILVER ,0.0,26260.98,yes,yes ,0.0
15691483.0,Chin,primary ,549.0,France,Female,25.0,5.0,0.0,2.0,0.0,None,0.0,190857.79,yes,yes ,0.0
15600882.0,Scott,unknown ,635.0,Spain,Female,35.0,7.0,0.0,2.0,1.0,GOLD ,1.0,65951.65,yes,yes ,0.0
15643966.0,Goforth,primary ,616.0,Germany,Male,45.0,3.0,143129.41,2.0,0.0,None,1.0,64327.26,no,yes ,0.0
15737452.0,Romeo,primary ,653.0,Germany,Male,58.0,1.0,132602.88,1.0,1.0,SILVER ,0.0,5097.67,yes,yes ,1.0
15788218.0,Henderson,secondary ,549.0,Spain,Female,24.0,9.0,0.0,2.0,1.0,SILVER ,1.0,14406.41,yes,yes ,0.0
15661507.0,Muldrow,tertiary ,587.0,Spain,Male,45.0,6.0,0.0,1.0,0.0,None,0.0,158684.81,yes,yes ,0.0
15568982.0,Hao,secondary ,726.0,France,Female,24.0,6.0,0.0,2.0,1.0,GOLD ,1.0,54724.03,yes,yes ,0.0
15577657.0,McDonald,secondary ,732.0,France,Male,41.0,8.0,0.0,2.0,1.0,PLATINUM ,1.0,170886.17,yes,yes ,0.0
15597945.0,Dellucci,tertiary ,636.0,Spain,Female,32.0,8.0,0.0,2.0,1.0,DIAMOND ,0.0,138555.46,no,yes ,0.0
15699309.0,Gerasimov,secondary ,510.0,Spain,Female,38.0,4.0,0.0,1.0,1.0,DIAMOND ,0.0,118913.53,yes,yes ,1.0
15725737.0,Mosman,tertiary ,669.0,France,Male,46.0,3.0,0.0,2.0,0.0,None,1.0,8487.75,yes,yes ,0.0
15625047.0,Yen,secondary ,846.0,France,Female,38.0,5.0,0.0,1.0,1.0,PLATINUM ,1.0,187616.16,no,yes ,0.0
15738191.0,Maclean,tertiary ,577.0,France,Male,25.0,3.0,0.0,2.0,0.0,None,1.0,124508.29,yes,yes ,0.0
15736816.0,Young,secondary ,756.0,Germany,Male,36.0,2.0,136815.64,1.0,1.0,DIAMOND ,1.0,170041.95,yes,yes ,0.0
15700772.0,Nebechi,secondary ,571.0,France,Male,44.0,9.0,0.0,2.0,0.0,None,0.0,38433.35,yes,yes ,0.0
15728693.0,McWilliams,secondary ,574.0,Germany,Female,43.0,3.0,141349.43,1.0,1.0,DIAMOND ,1.0,100187.43,yes,yes ,0.0
15656300.0,Lucciano,secondary ,411.0,France,Male,29.0,0.0,59697.17,2.0,1.0,GOLD ,1.0,53483.21,yes,yes ,0.0
15589475.0,Azikiwe,secondary ,591.0,Spain,Female,39.0,3.0,0.0,3.0,1.0,DIAMOND ,0.0,140469.38,no,yes ,1.0
15706552.0,Odinakachukwu,secondary ,533.0,France,Male,36.0,7.0,85311.7,1.0,0.0,None,1.0,156731.91,yes,yes ,0.0
15750181.0,Sanderson,secondary ,553.0,Germany,Male,41.0,9.0,110112.54,2.0,0.0,None,0.0,81898.81,yes,yes ,0.0
15659428.0,Maggard,unknown ,520.0,Spain,Female,42.0,6.0,0.0,2.0,1.0,SILVER ,1.0,34410.55,no,yes ,0.0
15732963.0,Clements,secondary ,722.0,Spain,Female,29.0,9.0,0.0,2.0,1.0,PLATINUM ,1.0,142033.07,yes,yes ,0.0
15794171.0,Lombardo,unknown ,475.0,France,Female,45.0,0.0,134264.04,1.0,1.0,DIAMOND ,0.0,27822.99,yes,yes ,1.0
15788448.0,Watson,primary ,490.0,Spain,Male,31.0,3.0,145260.23,1.0,0.0,None,1.0,114066.77,yes,yes ,0.0
