CustomerId,Surname,Education,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Housing,Loan,Card Type ,Exited
15634602,Hargrave,tertiary ,619,France,Female,42,2,0,1,1,1,101348.88,yes,yes ,DIAMOND ,1
15647311,Hill,secondary ,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,yes,yes ,DIAMOND ,0
15619304,Onio,unknown ,502,France,Female,42,8,159660.8,3,1,0,113931.57,yes,yes ,DIAMOND ,1
15701354,Boni,unknown ,699,France,Female,39,1,0,2,0,0,93826.63,yes,yes ,GOLD ,0
15737888,Mitchell,tertiary ,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,yes,yes ,GOLD ,0
15574012,Chu,tertiary ,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,yes,yes ,DIAMOND ,1
15592531,Bartlett,primary ,822,France,Male,50,7,0,2,1,1,10062.8,yes,yes ,SILVER ,0
15656148,Obinna,secondary ,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,no,yes ,DIAMOND ,1
15792365,He,secondary ,501,France,Male,44,4,142051.07,2,0,1,74940.5,yes,yes ,GOLD ,0
15592389,H?,secondary ,684,France,Male,27,2,134603.88,1,1,1,71725.73,yes,yes ,GOLD ,0
15767821,Bearce,secondary ,528,France,Male,31,6,102016.72,2,0,0,80181.12,no,yes ,GOLD ,0
15737173,Andrews,unknown ,497,Spain,Male,24,3,0,2,1,0,76390.01,yes,yes ,GOLD ,0
15632264,Kay,secondary ,476,France,Female,34,10,0,2,1,0,26260.98,yes,yes ,SILVER ,0
15691483,Chin,primary ,549,France,Female,25,5,0,2,0,0,190857.79,yes,yes ,PLATINUM ,0
15600882,Scott,unknown ,635,Spain,Female,35,7,0,2,1,1,65951.65,yes,yes ,GOLD ,0
15643966,Goforth,primary ,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,no,yes ,GOLD ,0
15737452,Romeo,primary ,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,yes,yes ,SILVER ,1
15788218,Henderson,secondary ,549,Spain,Female,24,9,0,2,1,1,14406.41,yes,yes ,SILVER ,0
15661507,Muldrow,tertiary ,587,Spain,Male,45,6,0,1,0,0,158684.81,yes,yes ,PLATINUM ,0
15568982,Hao,secondary ,726,France,Female,24,6,0,2,1,1,54724.03,yes,yes ,GOLD ,0
15577657,McDonald,secondary ,732,France,Male,41,8,0,2,1,1,170886.17,yes,yes ,PLATINUM ,0
15597945,Dellucci,tertiary ,636,Spain,Female,32,8,0,2,1,0,138555.46,no,yes ,DIAMOND ,0
15699309,Gerasimov,secondary ,510,Spain,Female,38,4,0,1,1,0,118913.53,yes,yes ,DIAMOND ,1
15725737,Mosman,tertiary ,669,France,Male,46,3,0,2,0,1,8487.75,yes,yes ,SILVER ,0
15625047,Yen,secondary ,846,France,Female,38,5,0,1,1,1,187616.16,no,yes ,PLATINUM ,0
15738191,Maclean,tertiary ,577,France,Male,25,3,0,2,0,1,124508.29,yes,yes ,PLATINUM ,0
15736816,Young,secondary ,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,yes,yes ,DIAMOND ,0
15700772,Nebechi,secondary ,571,France,Male,44,9,0,2,0,0,38433.35,yes,yes ,PLATINUM ,0
15728693,McWilliams,secondary ,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,yes,yes ,DIAMOND ,0
15656300,Lucciano,secondary ,411,France,Male,29,0,59697.17,2,1,1,53483.21,yes,yes ,GOLD ,0
15589475,Azikiwe,secondary ,591,Spain,Female,39,3,0,3,1,0,140469.38,no,yes ,DIAMOND ,1
15706552,Odinakachukwu,secondary ,533,France,Male,36,7,85311.7,1,0,1,156731.91,yes,yes ,SILVER ,0
15750181,Sanderson,secondary ,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,yes,yes ,GOLD ,0
15659428,Maggard,unknown ,520,Spain,Female,42,6,0,2,1,1,34410.55,no,yes ,SILVER ,0
15732963,Clements,secondary ,722,Spain,Female,29,9,0,2,1,1,142033.07,yes,yes ,PLATINUM ,0
15794171,Lombardo,unknown ,475,France,Female,45,0,134264.04,1,1,0,27822.99,yes,yes ,DIAMOND ,1
15788448,Watson,primary ,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,yes,yes ,SILVER ,0
15729599,Lorenzo,tertiary ,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,yes,yes ,GOLD ,0
15717426,Armstrong,secondary ,850,France,Male,36,7,0,1,1,1,40812.9,yes,yes ,GOLD ,0
15585768,Cameron,secondary ,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,yes,yes ,GOLD ,0
15619360,Hsiao,tertiary ,472,Spain,Male,40,4,0,1,1,0,70154.22,yes,yes ,DIAMOND ,0
15738148,Clarke,secondary ,465,France,Female,51,8,122522.32,1,0,0,181297.65,yes,yes ,SILVER ,1
15687946,Osborne,tertiary ,556,France,Female,61,2,117419.35,1,1,1,94153.83,yes,yes ,PLATINUM ,0
15755196,Lavine,tertiary ,834,France,Female,49,2,131394.56,1,0,0,194365.76,yes,yes ,GOLD ,1
15684171,Bianchi,secondary ,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,yes,yes ,PLATINUM ,0
